iter	MAPE	RMSE
750	0.1979352005	402909.8965
751	0.1979579045	402833.5544
752	0.1979604409	402481.5408
753	0.1978117047	402326.9892
754	0.1978549741	402264.5654
755	0.1978320521	402089.5808
756	0.197757913	401943.5128
757	0.1977210945	401878.1557
758	0.1977049992	401477.1935
759	0.1973162552	401344.7511
760	0.1971297988	401130.7252
761	0.1970835707	401090.4054
762	0.1970975712	400761.2473
763	0.1971370514	400505.4229
764	0.1969571746	400205.491
765	0.1968661351	400029.2369
766	0.1965642294	399964.0294
767	0.1964647888	399805.713
768	0.1962139029	399517.149
769	0.1961267682	399412.6037
770	0.1960983414	399345.4562
771	0.1960055993	399296.6697
772	0.1960067786	399087.2927
773	0.1959862487	398909.2153
774	0.1959888837	398797.8599
775	0.1958973134	398604.9995
776	0.1956827358	398460.5805
777	0.1956115363	398189.0046
778	0.1956110427	398169.9893
779	0.1955819864	397990.394
780	0.1955340765	397892.787
781	0.1953525982	397776.2852
782	0.1953286448	397695.1138
783	0.1952997545	397417.5731
784	0.1952965646	397346.1761
785	0.1952692492	397260.5692
786	0.1952160377	397140.5721
787	0.195202418	396782.3865
788	0.1951875066	396554.8746
789	0.1951667983	396516.7852
790	0.1949635048	396294.5038
791	0.1949788802	396246.6167
792	0.1949696091	396223.9741
793	0.1949631609	396157.9128
794	0.1949463462	395869.0385
795	0.1949557362	395788.4918
796	0.1949511939	395696.9507
797	0.1949175444	395497.9292
798	0.1948215227	395343.2834
799	0.1948323187	395088.141
800	0.1948492309	394893.2709
801	0.1948497402	394626.6951
802	0.1948030187	394383.6478
803	0.1947847718	394187.0659
804	0.194738229	393975.961
805	0.1946639148	393876.5958
806	0.1946614068	393782.7759
807	0.1946316956	393653.6467
808	0.1946452064	393374.837
809	0.1946201117	393271.0988
810	0.1946002907	393146.7015
811	0.1945697901	393020.7244
812	0.1946003666	392930.3279
813	0.1945907284	392900.9787
814	0.1945583133	392694.6578
815	0.1944381464	392432.3535
816	0.194386401	392351.7898
817	0.19436033	392001.0028
818	0.1942774694	391797.4132
819	0.1942459519	391759.5062
820	0.1942024294	391570.1437
821	0.1941835879	391514.9852
822	0.1941815087	391472.0364
823	0.1942085864	391296.0951
824	0.1942148574	391082.6895
825	0.1941900662	390920.0124
826	0.1942034415	390829.797
827	0.1942198633	390793.3801
828	0.1941022972	390398.7715
829	0.1940462505	390109.5206
830	0.194029898	390038.9286
831	0.1940586708	389862.0143
832	0.1940268834	389613.6268
833	0.1940176538	389551.3255
834	0.1940016518	389529.6076
835	0.1939739931	389512.4012
836	0.1940067151	389456.7476
837	0.1939781821	389418.2978
838	0.1939207492	389350.7779
839	0.1936497204	389248.4015
840	0.1936485025	389163.8857
841	0.1935815959	389117.1765
842	0.1935312235	388909.4319
843	0.1935310648	388643.797
844	0.1934995813	388565.4718
845	0.1934782382	388476.6141
846	0.1934577809	388384.8387
847	0.1933930818	388280.6783
848	0.1933803995	388019.6993
849	0.1932964282	387752.4435
850	0.1932808821	387621.7856
851	0.1932622695	387454.6306
852	0.1932410569	387195.8736
853	0.1930754013	387046.2124
854	0.1930094389	386930.9059
855	0.1929917149	386910.5107
856	0.1930011556	386809.3598
857	0.1929283576	386478.1639
858	0.1929247466	386332.748
859	0.1929326668	386310.5092
860	0.1928821452	386089.8639
861	0.1928821727	386079.6791
862	0.1928152822	385928.8217
863	0.1927888077	385903.6123
864	0.1926464975	385740.9523
865	0.1926099942	385578.8139
866	0.192617952	385314.9036
867	0.1924049036	385180.0861
868	0.192374459	385084.427
869	0.1923789443	385064.2314
870	0.1923844812	385037.7103
871	0.1923419171	384876.9652
872	0.1923810866	384846.1668
873	0.192338219	384701.2472
874	0.1923087146	384678.1466
875	0.1922920364	384626.2641
876	0.1921845572	384478.3449
877	0.1922039494	384359.7805
878	0.1921175569	384249.8895
879	0.1920627381	384030.5703
880	0.1920707	383895.6759
881	0.19206589	383637.8287
882	0.1920651026	383317.0659
883	0.192056455	383239.2075
884	0.1920298257	383124.8915
885	0.1919510317	382999.999
886	0.1919413231	382891.7171
887	0.1918853608	382817.284
888	0.1918829495	382799.0491
889	0.1918662986	382725.2903
890	0.1919034264	382699.0496
891	0.191919284	382655.6105
892	0.1919169828	382538.5797
893	0.1917191934	382432.9557
894	0.1916496373	382319.3774
895	0.1916011004	382257.4091
896	0.1916364122	382031.7918
897	0.1916221181	381794.7674
898	0.1916143269	381729.2124
899	0.1916061405	381562.7122
900	0.1915433679	381259.4401
901	0.191505792	381101.5015
902	0.1915037062	381065.7248
903	0.1915119442	381035.5332
904	0.1914984627	380942.9152
905	0.1915463999	380914.8313
906	0.1914507772	380734.3285
907	0.1912817982	380534.7599
908	0.1912225663	380501.295
909	0.1911869377	380435.3066
910	0.1911937877	380199.1924
911	0.1911336824	380056.329
912	0.1910791939	379895.2593
913	0.1910103825	379644.3688
914	0.1909498361	379565.2769
915	0.190931971	379399.6104
916	0.1908178209	379105.5445
917	0.1908100399	379079.5887
918	0.190754029	378948.0221
919	0.1907254181	378767.5642
920	0.1907111896	378604.1356
921	0.190709703	378455.2192
922	0.1907075838	378318.3782
923	0.1906850242	378194.7412
924	0.1906893472	378036.4154
925	0.1907151504	378018.7891
926	0.1906067243	377916.5693
927	0.1906148351	377877.8635
928	0.1905863247	377696.5647
929	0.1905469713	377488.3102
930	0.190489953	377272.4846
931	0.1903863304	377180.3269
932	0.1902000404	377119.5055
933	0.1900438314	377000.1437
934	0.1900666011	376965.9288
935	0.1900064854	376828.94
936	0.1899474201	376748.8957
937	0.189955941	376592.2381
938	0.1898735556	376524.4543
939	0.1898735907	376376.4433
940	0.1896704675	376194.4763
941	0.1896344094	376144.6879
942	0.1896113827	376135.8784
943	0.1895553123	375933.6115
